Text;Text_Tag;Author;Date;Label
Says the Annies List political group supports third-trimester abortions on demand.;abortion;Ilsa Mathiasen;2017/08/30;FAKE
When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.;energy,history,job-accomplishments;Esmeralda Bowyer;2017/12/09;FAKE
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""";foreign-policy;Mar Houseman;2017/11/11;REAL
Health care reform legislation is likely to mandate free sex change surgeries.;health-care;Lillis Carrington;2017/09/10;FAKE
The economic turnaround started at the end of my term.;economy,jobs;Fleming Kemmish;2017/12/15;FAKE
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.;education;Tyrone Dean;2017/05/17;REAL
Jim Dunnam has not lived in the district he represents for years now.;candidates-biography;Hurlee Bartoszewski;2018/03/19;FAKE
I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.;ethics;Waring Wastie;2018/08/24;FAKE
However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.;jobs;Berget Duplock;2017/03/05;FAKE
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.;energy,message-machine-2014,voting-record;Daisie O'Cahill;2017/07/19;REAL
For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.;elections;Quinta McInulty;2017/04/30;REAL
Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.;economy,jobs,new-hampshire-2012,poverty;Rosaline Harrinson;2017/04/13;FAKE
When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.;history,state-budget;Herbie McTrustram;2018/05/09;FAKE
The economy bled $24 billion due to the government shutdown.;economy,federal-budget,health-care;Kendrick Bateman;2017/03/08;REAL
Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.;health-care;Humfried Blackler;2017/12/18;FAKE
In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.;elections;Sean Giacobelli;2018/12/05;FAKE
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.';federal-budget;Wallis Dalliwater;2018/01/24;REAL
U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out;federal-budget;Violante Haggerstone;2017/01/08;FAKE
Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.;financial-regulation,foreign-policy,water;Killie Stallard;2017/09/28;FAKE
Almost 100,000 people left Puerto Rico last year.;bankruptcy,economy,population;Allyson Sangster;2018/10/10;REAL
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.;economy,income;Pepe Vause;2017/12/17;FAKE
The United States has the highest corporate tax rate in the free world.;corporations,taxes;Lamont Kovelmann;2017/03/04;REAL
We just had the best year for the auto industry in America in history.;economy;Dal Levesque;2017/10/15;REAL
Says Scott Walker favors cutting up to 350,000 families and children off health care.;health-care,message-machine;Creighton Simmank;2017/04/28;FAKE
Says Mitt Romney wants to get rid of Planned Parenthood.;abortion,federal-budget,health-care;Lonni McLewd;2017/04/08;FAKE
I dont know who (Jonathan Gruber) is.;health-care;Christina Prop;2018/05/28;FAKE
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.;crime,diversity,homeland-security,terrorism;Suzann Roaf;2018/08/19;REAL
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.;candidates-biography;Aubrey Vasilchikov;2018/08/16;FAKE
ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.;technology,terrorism;Cam Swinnard;2018/06/29;FAKE
Youth unemployment in minority communities is about 40 to 45 percent.;diversity,economy,jobs;Maynord Sharpus;2017/05/17;REAL
Says Paul Ryan is still endorsing Trump.;candidates-biography,elections,campaign-advertising;Philip Georgiev;2017/04/13;REAL
If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.;economy,labor,states,unions,workers;Austine Banbridge;2018/10/12;FAKE
What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.;climate-change,energy,environment,government-regulation;Fey Bowen;2017/06/27;FAKE
We cut business taxes so today 70 percent of our businesses dont pay a business tax.;small-business,taxes;Forster Room;2018/07/30;REAL
Says Mark Pryor votes with Obama 93 percent of the time.;bipartisanship,voting-record;Caralie Franklen;2017/10/21;REAL
We have a federal government that thinks they have the authority to regulate our toilet seats.;consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers;Josephina Huntall;2017/10/22;REAL
Austin is a city that has basically doubled in size every 25 years or so since it was founded.;city-government,population;Nerita Wessell;2017/03/20;REAL
The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.;military;Loise Rowlson;2017/07/10;REAL
In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.;health-care,pop-culture;Joshua McCotter;2018/05/16;FAKE
Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.;debt;Wendel Rubinowicz;2018/10/09;REAL
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.;legal-issues,supreme-court;Shirline Marshfield;2018/07/29;FAKE
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.;military,voting-record;Andonis Mallam;2017/07/09;FAKE
Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company;energy,stimulus;Margot Stoaks;2017/12/18;FAKE
Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.;abortion,pundits,women;Moshe Ecclesall;2018/07/10;FAKE
We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.';homeland-security,terrorism;Vanny Bassano;2017/12/23;FAKE
African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.;diversity,economy,jobs;Joseito Park;2018/12/23;FAKE
Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.;health-care,immigration;Boycey Hynard;2018/04/30;FAKE
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.;deficit,federal-budget;Ephraim Clemonts;2018/09/16;FAKE
It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.;iraq,military;Enrico Dzeniskevich;2018/04/10;FAKE
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.;patriotism;Aveline Traylen;2018/05/24;REAL
Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country;health-care,states;Sydney Clemanceau;2017/12/13;FAKE
Maggie Hassan raised tuition, making it the highest in America.;education;Lazarus Bostock;2018/12/12;FAKE
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.;campaign-finance,ethics,history;Harlene Atterley;2018/08/22;FAKE
We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history;jobs;Matthiew Otteridge;2018/01/31;REAL
We have towns in West Texas that are out of water, that are having to truck in water.;water;Lotta Antrim;2017/10/23;FAKE
In Georgia, women earn 82 cents for every dollar earned by men.;jobs,women;Shae Jannex;2017/01/18;FAKE
A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.;immigration;Marcelia Somner;2017/01/07;FAKE
They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.;immigration;Gabe Ivashkin;2018/12/12;FAKE
Sen. Obama's campaign announced that he's choosing his cabinet.;elections;Paddie Van Eeden;2017/10/10;FAKE
In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.;elections,population;Bart Moseley;2018/11/23;REAL
Only 2 percent of public high schools in the country offer PE classes.;education,health-care;Ravi Warrington;2018/01/31;FAKE
"Said he's the only Republican candidate ""who's actually turned around a government economy.""";job-accomplishments;Lyndell Fessler;2018/02/13;REAL
"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""";education,gays-and-lesbians,kagan-nomination,military,supreme-court;Fran Roseburgh;2017/02/20;REAL
There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.;education,message-machine,taxes;Pepe Vause;2017/10/09;REAL
Under Mayor Cicilline, [Providence] was a sanctuary city.;history,homeland-security,immigration,legal-issues,pundits;Brandea Sibun;2017/06/17;FAKE
Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.;corrections-and-updates,crime,criminal-justice,sexuality;Nerita Wessell;2018/07/11;FAKE
At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.;candidates-biography,job-accomplishments;Rochell Vasilchenko;2017/10/24;REAL
Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.;civil-rights,elections,terrorism;Alvie Fishleigh;2018/03/17;FAKE
U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.;criminal-justice,terrorism;Trevar Lovart;2018/04/27;FAKE
Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.;economy,financial-regulation,message-machine;Joseito Park;2017/07/16;FAKE
If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.;jobs;Alexine De Fraine;2018/11/01;REAL
Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.;housing,message-machine-2012;Ferd Dreini;2017/06/03;FAKE
"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""";immigration,legal-issues;Philip Georgiev;2017/04/27;REAL
The only time in our history when the debt has been higher than this was the end of World War II.;debt;Phillis Callcott;2018/04/05;REAL
The cost of health care is now the single-biggest factor driving down the federal budget deficit.;deficit,federal-budget,health-care;Letti Angric;2017/09/27;REAL
During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.;economy,abc-news-week;Susana Pavlitschek;2017/08/24;REAL
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.;kagan-nomination,supreme-court;Sibel Dimmne;2017/05/23;FAKE
Says one out of three U.S. homeless men is a veteran.;poverty,veterans;Montgomery Duerdin;2017/04/02;FAKE
Says Charlie Crist supports cuts to the Medicare Advantage program.;health-care,medicare;Sanders Alleyn;2018/02/24;FAKE
I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.;energy;Rakel Kosel;2018/07/10;FAKE
Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.;health-care,legal-issues,women;Truman Farres;2017/09/09;REAL
At some point in their lives, 99% of women use birth control.;sexuality;Brandtr Reddoch;2018/04/28;FAKE
In the past 20 years, Egypt has made great strides in political and democratic reform.;foreign-policy,abc-news-week;Onfre Norquoy;2017/11/07;FAKE
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.;terrorism,transportation;Hastings Tomczykowski;2018/04/24;FAKE
Says U.S. Rep. Steve Southerland voted to keep the shutdown going.;federal-budget;Culley Tommen;2018/04/04;REAL
In Rick Perrys Texas, we import nurses ... from other countries.;health-care;Oliy Edgler;2017/01/26;FAKE
There is a federal criminal law that says its a crime to transport dentures across state lines.;public-health;Austen Muat;2017/04/09;REAL
We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.;crime,criminal-justice;Portie Lilley;2017/12/30;REAL
"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""";taxes;Saundra Baskeyfield;2018/09/05;FAKE
Austin is burdened by the fastest-growing tax increases of any major city in the nation.;city-budget,city-government,taxes;Winny Chilvers;2017/05/17;FAKE
Phoenix, Arizona, is the No. 2 kidnapping capital of the world.;immigration;Flem Idale;2017/03/08;FAKE
I belong to the AFL-CIO.;candidates-biography,labor;Mariann Polotti;2018/09/30;REAL
The insurance commissioner cant do squat about health care.;health-care;Nedi Pinare;2018/09/01;REAL
Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.;polls;Abraham Leverson;2018/06/12;FAKE
President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.;foreign-policy,history,military;Kylen Sidnell;2018/04/23;FAKE
Says David Jolly supports privatizing Social Security.;social-security;Hartwell Lartice;2018/03/08;FAKE
Did you know US population growth is at its lowest since the Great Depression?;immigration,population;Jessie Bretherton;2017/04/21;REAL
The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.;education;Franny Kelso;2018/10/09;REAL
Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.;guns;Babara Shellard;2018/04/09;REAL
A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.;housing;Read Scannell;2018/02/17;REAL
The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.;guns;Solomon Galbreth;2018/01/24;FAKE
The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.;transportation;Jourdan Stopp;2017/09/25;FAKE
Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.;income,message-machine-2014,poverty;Cairistiona Camplen;2018/08/16;REAL
Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.;foreign-policy,history,terrorism;Alfy Mee;2017/06/25;REAL
NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.;foreign-policy,military,terrorism;Gilbert Reijmers;2017/10/31;FAKE
Sen. Obama has always had a 100 percent prochoice rating.;abortion;Davon Ruckert;2018/06/05;REAL
Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.;candidates-biography,economy,pensions,retirement,state-finances,wealth,workers;Zita Rolstone;2018/11/26;FAKE
The (federal) debt is growing by more than $4 billion a day.;deficit,economy,federal-budget;Amory Bungey;2018/05/23;REAL
