"","Text","Text_Tag","Author","Date","Label"
"1","... study after study has shown that the death penalty deters murders.","crime","Luca Abramof","2018/04/28","FAKE"
"2","...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.","education,federal-budget","Edouard Hundall","2017/03/04","REAL"
"3","...some of those (tax increases) were either court-ordered, or they were voted on by the people and approved by the people for (such) things as roads.","taxes","Shoshanna Zamboniari","2018/11/25","FAKE"
"4","''I have received more contributions than any other candidate in the race Republican or Democrat.''","elections","Roobbie Pichmann","2018/12/12","FAKE"
"5","(After the auto bailout) General Motors is back on top as the worlds No. 1 automaker.","economy,jobs","Juan Bomb","2017/09/15","FAKE"
"6","(Big banks) have invested over $300,000 in (Joe Heck), and Heck has sponsored $44 million dollars in tax breaks for banks.","campaign-finance","Mariquilla Clarey","2017/05/24","FAKE"
"7","(Bill) McCollum also voted for numerous amendments to weaken the legislation, even voting to make trains less accessible to those in wheelchairs.","disability","Caralie Franklen","2017/04/21","REAL"
"8","(Birmingham, Ala.) is the cradle of the civil rights movement.","civil-rights,history","Karolina Van de Vlies","2018/08/22","FAKE"
"9","(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations.","federal-budget,health-care,medicare,social-security","Harlene Atterley","2018/04/26","FAKE"
"10","(Chris Christie) has not paid one dollar of state money into our pension system, and then states that the system is broke.","retirement,state-budget","Edouard Hundall","2018/01/12","REAL"
"11","(Deborah) Ross defends those who want to burn the American flag, and even called efforts to ban flag-burning ridiculous, yet refused to help a disabled veteran fly the flag.","legal-issues,military,campaign-advertising,patriotism,veterans","Ericka La Vigne","2018/04/12","REAL"
"12","(Environmentalists) said Were only going to stop coal mining above 2,000 feet. ... Well guess where all the coal in the state of Tennessee is? Above 2,000 feet.","energy,environment","Josefa O'Fogerty","2018/10/30","FAKE"
"13","(Flint, Mich., is) paying three times more for poison water than I am paying in Burlington, Vt., for clean water.","city-government,water","Beauregard Rubinek","2018/01/26","REAL"
"14","(I) helped to invent a system that saved over a billion dollars on welfare.","candidates-biography,economy,families,federal-budget,government-efficiency,poverty","Olivette Harragin","2018/06/20","REAL"
"15","(Jack Kingston) had more earmarks at one time than every member of the Georgia delegation put together.","federal-budget","Dodi Gillitt","2017/09/15","FAKE"
"16","(Jeb) Bush, not the State of Florida, decided which private emails to disclose.","transparency","Homer Livsey","2017/09/05","REAL"
"17","(Jeff) Atwaters bank was so weak that just a few months ago it was shut down by the FDIC.","candidates-biography,financial-regulation,housing,message-machine","Hyacinthe Limeburn","2017/12/13","FAKE"
"18","(Jeff) Atwaters busy helping his friends and wasting our tax dollars -- $48 million for a government building so lavish its dubbed the Taj Mahal, $100,000 for a golf musuem, and $110 million to build a private prison to help a big contributor.","crime,message-machine,state-budget","Saundra Baskeyfield","2017/11/01","FAKE"
"19","(John McCain) was even mentioned as a running mate with John Kerry.","elections","Suzann Roaf","2018/01/21","REAL"
"20","(Koch Industries) is among the worst in toxic air pollution in the entire United States ... and churns out more climate-changing greenhouse gases than oil giants Chevron, Shell and Valero.","environment","Zita Rolstone","2018/05/23","REAL"
"21","(M)ore Georgians have jobs than at any other time since October 2008.","economy,jobs","Rodi Gidman","2018/02/05","REAL"
"22","(Mary) Burke was a senior member of the Doyle administration that left Wisconsin with 130,000 fewer jobs.","economy,jobs","Minnnie Bellefonte","2017/07/14","FAKE"
"23","(Mary) Burkes company, Trek Bicycles, makes 99% of their bikes overseas.","labor,workers","Shayne Cawthorne","2018/10/01","REAL"
"24","(McCain) said he was opposed to overturning Roe v. Wade. Now he's for overturning Roe v. Wade.","abortion","Jacquelynn Arnot","2017/07/08","FAKE"
"25","(McCain) says ""we can't have ... timelines to draw down our troops from Iraq.""","iraq","Kettie Kidstone","2017/11/02","FAKE"
"26","(McCain) was opposed to ethanol. Now he's for it.","energy","Tildi Pardi","2017/06/28","REAL"
"27","(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.","immigration","Janka Hedylstone","2018/11/01","REAL"
"28","(My dad) used to campaign against the gas-guzzling dinosaurs.","energy","Bee Hick","2018/09/03","REAL"
"29","(New Jersey Network) is the only news station which covers New Jersey government.","state-budget","Hatty Cowton","2018/04/26","FAKE"
"30","(Newt Gingrich) voted in favor of establishing the Department of Education, and yet he gets in a debate and says we should get rid of the Department of Education and send all the education issues back to the states.","candidates-biography,education,states","Andy Piche","2017/05/12","FAKE"
"31","(Obama) did accept donations from lobbyists and PACs and he spent money in this campaign from that, through his political action committee.","ethics","Amy Gauge","2017/07/30","REAL"
"32","(Obamas) entire national security team, including his secretary of state, said we want to arm and train and equip (Syrian rebel forces), and he made the unilateral decision to turn them down.","homeland-security,military","Sherlocke Millsap","2018/12/28","REAL"
"33","(Palin) supported right-wing extremist Pat Buchanan for president in 2000.","israel","Gualterio Schall","2018/03/14","FAKE"
"34","(Paul Ryan) has actually proposed three total, three bills that have become law in his entire career dating back to 1999.","candidates-biography","Kay Grimsdale","2017/05/17","REAL"
"35","(Pete) Sessions has held at least two fundraisers at adult-themed clubs and made no apologies.","ethics","Margot Stoaks","2017/02/07","FAKE"
"36","(President Barack Obama gave) half a billion in taxpayer money to help his friends at Solyndra, a business the White House knew was on the path to bankruptcy.","campaign-finance,corporations,energy,ethics,jobs,stimulus","Clayson Giddons","2018/05/04","FAKE"
"37","(President Barack Obama) said unemployment was never gonna go over 8 percent if we passed the stimulus plan.","stimulus","Kali Cecere","2017/12/11","FAKE"
"38","(Rep. Bob Goodlattes) balanced budgetamendment does not require a balanced budget.","deficit,federal-budget","Fey Bowen","2017/10/31","FAKE"
"39","(Romney's) record was that he raised taxes by $730-million.","taxes","Haroun Resdale","2017/12/22","FAKE"
"40","(Ronald Reagan) raised taxes a billion dollars in his first year as governor of California.","taxes","Jacquenetta Lee","2018/02/19","REAL"
"41","(Sen. Robert) Gordon cost us money, exempting the Newark sports arena from paying property taxes and sticking us with the bill.","message-machine-2012,taxes","Zared Searles","2018/10/29","FAKE"
"42","(Since 1990)every continent has seen substantial gains, with individual incomes growing by more than a third in every region of the developing world.","economy,foreign-policy","Adelind Veighey","2018/08/23","REAL"
"43","(Stimulus money) went to critically important projects like studying ants in Africa.","message-machine-2012,stimulus","Ravi Warrington","2017/11/02","REAL"
"44","(Strickland) raised taxes last year to the tune of $840 million.","taxes","Alisha Bodell","2017/02/22","REAL"
"45","(T)he United States government and its Constitution says that people can be put to death.","criminal-justice","Linet Golden of Ireland","2017/02/27","REAL"
"46","(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.","social-security,veterans","Ursala Ettridge","2018/02/04","FAKE"
"47","(The farm bill) has aprovision that would in many ways reduce the deficit.","agriculture,deficit","Sianna Billings","2017/06/13","REAL"
"48","(The Opportunity Scholarship Act) would be funded directly from public school budgets. So it would absolutely take money out of the public school system to transfer to private and religious schools.","education","Griz Callaghan","2018/05/04","REAL"
"49","(The Tax Policy Center) found that Romney would raise taxes on the average middle class family by $2,000 to pay for $5 trillion in tax cuts for millionaires and billionaires.","taxes","Kanya Sworder","2018/05/25","FAKE"
"50","(U.S. Rep. Jack Kingston) voted to fund (Obamacare).","health-care","Clarence Perelli","2017/11/05","FAKE"
"51","(U.S. Reps.) Paul Ryan, Sean Duffy and Reid Ribble are shutting down town hall meetings, or making their constituents pay to attend them.","medicare","Flin Mager","2018/11/02","FAKE"
"52","[A] 2009 USDA study found that 87 percent of chicken carcasses tested positive for generic E. coli ... just prior to packaging.","food-safety","Alfy Mee","2017/10/31","FAKE"
"53","[A]n extra 8 million Americans [are] projected to join state Medicaid programs in the next few years.","health-care","Jeniece Lamborn","2018/10/26","FAKE"
"54","[A]t his current rate, President Obama will have added more debt to the United State of America by the end of his first term than each of the previous 43 presidents -- combined!","federal-budget","Valerye Waud","2018/01/10","FAKE"
"55","[E]mployment in Gwinnett is up more than 3 percent over last year, and unemployment is the lowest of the five core metro counties.","economy,jobs","Chauncey Reaman","2018/09/03","REAL"
"56","[Eighty-five percent] of the funds collected in each county will be redistributed elsewhere -- not spent in the county in which it is collected.","taxes,transportation","Jeralee Geldart","2017/05/24","FAKE"
"57","[Federal] law says that you cant give in-state tuition to an illegal alien unless you first offer it to any other student regardless of their state of residence.","education,immigration","Goldie Fairlam","2017/02/01","FAKE"
"58","[Former Georgia congressman] Bob Barr voted ... to raise his own pay.","congressional-rules,voting-record","Hana Moynihan","2017/10/29","FAKE"
"59","[Georgia] Republicans have mismanaged unemployment benefits.","jobs","Allina Burrel","2017/07/26","FAKE"
"60","[Hillary Clinton]s not trusted -- virtually at all.","elections","Drake Sharer","2018/06/02","FAKE"
"61","[If] you apply for a job, the chances are 1 in 7 that you are going to be denied that job unfairly if everybody is forced to use E-Verify.","economy,immigration,jobs,labor","Cam Swinnard","2018/12/12","FAKE"
"62","[L]ess than one-tenth of Atlantas transportation needs are covered in a referendum to levy a 1-cent sales tax.","transportation","Marwin Armell","2018/09/08","REAL"
"63","[Mitt] Romney and [Brendan] Doherty certainly have a lot in common, like flip-flopping on abortion -- in Dohertys case, in a little over a week.","abortion,women","Jecho Seacombe","2018/11/02","FAKE"
"64","[My administration is] well represented both racially, ethnically and gender-wise.","city-government,diversity,women","Philipa Haddrill","2017/03/09","FAKE"
"65","[N]early one in three primary care doctors are forced to limit the number of Medicare patients they see.","health-care","Rochella Howkins","2017/03/20","REAL"
"66","[R]emember, the president proposed eliminating charitable deductions for higher-income taxpayers.","taxes","Harrison Georgeot","2017/09/19","FAKE"
"67","[Renewable energy] projects . . . get us off foreign oil and away, step by step, from these foreign entanglements that we have to get into to defend our oil supply.","climate-change,energy,environment","Alisha Bodell","2017/10/15","FAKE"
"68","[State Rep. Doug McKillips] donors deserve a refund.","campaign-finance,elections","Gabe Ivashkin","2017/05/31","FAKE"
"69","[T]he Georgia Dome has returned $10 billion in economic impact to the state of Georgia.","economy,tourism","Teddie Rolfs","2017/11/05","FAKE"
"70","[T]his breed (of pit bulls) is most often associated with aggressive behavior.","animals","Galina Burniston","2017/08/09","REAL"
"71","[Tailpipe emissions rules], if fully implemented with all the regulations that go with it, they will keep the temperature from rising nearly five one-hundredths of a degree Fahrenheit. By 2050.","climate-change,environment,transportation","Devonne Clemon","2017/07/16","REAL"
"72","[The state ethics commission] took absolutely the same percent of cuts as most other state agencies. They were somewhere in the 7 percent range same as the governors office.","ethics","Gerrie Babbs","2018/07/22","REAL"
"73","[The] ACLU and atheists in Denver are demanding the NFL stop [Tim Tebow] from praying on the sidelines.","civil-rights,human-rights,legal-issues,pundits,religion,sports","Barbee Gulc","2017/03/21","FAKE"
"74","[U]nlike every other major transit system in the nation, MARTA has never received any significant, dedicated funding from the state of Georgia.","transportation","Claudette Croux","2017/05/17","FAKE"
"75","[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!","criminal-justice","Aleta Warsop","2017/03/15","REAL"
"76","[W]hen adjusted for cost of living, Georgia ranks first nationally in teacher salary and benefits.","education,state-finances","Mariellen Betke","2018/02/09","FAKE"
"77","[When I was mayor] Providence was one of the five renaissance cities of America, according to USA Today in those days. Money magazine said it was the fifth best city to live in in America. In addition to that, All Cities Almanac said in 1994, I believe, that it was the safest city in America.","candidates-biography,city-government,debates,job-accomplishments","Coralyn Cuncarr","2018/12/27","REAL"
"78","@Jorge_Elorza still think your plan is safe? Rescue Captain Kenyon just worked 96 hours straight. 96 hours.","public-safety,unions","Barbabra Collingdon","2017/10/15","REAL"
"79","@realDonaldTrump is coming to San Antonio, which is 60% Mexican-AMERICAN.","civil-rights,elections,immigration","Sean Giacobelli","2017/05/11","REAL"
"80","\u201CThirty-four percent of Hispanics don\u2019t have any health care at all, don\u2019t have any health insurance.\u201D","iraq","Neall McShirrie","2017/08/15","REAL"
"81","#Business formation is still on the rise in Ohio! So far in 2011 weve assisted w/ 44,443 new business filings.","corporations,economy","Milly Astling","2018/01/28","REAL"
"82","#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.","education,health-care","Cynde Petigrew","2018/03/30","FAKE"
"83","$100,000 in stimulus funds (were) used for a Martini Bar and Brazilian Steakhouse.","stimulus","Jeannette Fegan","2017/05/17","REAL"
"84","$120,000 will be spent by taxpayers on Charlie Crists political photo-op special session.","oil-spill,state-budget","Venita Dell'Abbate","2017/10/31","REAL"
"85","$16 trillion (the national debt) in $1 bills would cover the entire state of Ohio nearly 1.5 times.","debt,deficit,federal-budget","Tess Hofner","2017/08/13","REAL"
"86","$2.4 million of the NIH dollars was spent on origami condoms.","ebola,public-health","Dev Koche","2017/05/11","REAL"
"87","$3 billion over the next five years will be taken out of our public schools and be put into vouchers.","children,education,poverty","Nanni Cheltnam","2017/05/04","FAKE"
"88","$360 million of our tax dollars went straight to ... the Taliban.","afghanistan,government-efficiency,iraq,military","Roxie Mengo","2018/09/22","REAL"
"89","$50,000. Thats what every child owes today because Washington politicians have run up a huge spending tab and left our kids the bill.","debt","Emlynne Chattelaine","2018/08/06","REAL"
"90","$500 billion of the extension of the Bush tax cuts for the wealthy goes to 120,000 families.","federal-budget,income,taxes,wealth","Libbi Nellies","2018/06/07","REAL"
"91","$6 billion water bond program voters passed in 2011 has yet to be tapped.","state-budget,state-finances,water","Claybourne O'Day","2017/07/22","REAL"
